CountryID,Country Name,Region,World Rank,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom
174,United Kingdom,Europe,13,90.0,76.0,62.9,30.3,91.1,75.6,74.4,88.0,90.0,80.0
175,United States,North America,12,80.0,73.0,66.2,51.8,88.8,98.5,76.6,87.0,70.0,70.0
176,Uruguay,South and Central America / Caribbean,43,70.0,73.0,77.1,65.1,72.6,64.3,71.6,81.8,80.0,30.0
177,Uzbekistan,Asia-Pacific,160,15.0,17.0,90.2,67.3,73.1,64.2,63.5,69.8,0.0,10.0
178,Vanuatu,Asia-Pacific,84,40.0,33.5,97.2,83.8,51.5,46.4,82.9,75.4,60.0,40.0
179,Venezuela,South and Central America / Caribbean,176,5.0,20.0,75.0,52.0,41.6,24.2,42.8,62.8,0.0,20.0
180,Vietnam,Asia-Pacific,148,15.0,31.0,79.1,77.1,61.5,62.9,66.8,78.6,15.0,30.0
181,Yemen,Middle East / North Africa,133,30.0,18.0,91.5,59.9,54.0,57.1,68.5,77.6,50.0,30.0
182,Zambia,Sub-Saharan Africa,100,30.0,38.0,71.9,78.0,68.2,46.0,73.2,76.8,55.0,50.0
183,Zimbabwe,Sub-Saharan Africa,175,10.0,21.0,66.6,74.2,37.1,23.7,75.4,58.4,0.0,10.0
186,Brunei Darussalam,Asia-Pacific,39,35.0,60.0,87.0,63.6,68.3,96.9,76.6,81.8,70.0,50.0
